mpid,e_form (eV/atom),composition
mp-770289,-3.884520950113637,Ho2O7Zr2
mp-1019591,-3.884030934583334,Ce3O8Zr1
mp-28074,-3.883692387810604,F6Pa1Rb1
mp-1215946,-3.883405564166667,O6U2Y1
mp-686003,-3.8828969681944447,Ce4O17Y6
mp-755652,-3.8827307667045456,Dy3O7Ta1
mp-1208108,-3.8820538789166656,Al2O9Tm4
mp-1178353,-3.881433250795455,Er2O7Zr2
mp-557743,-3.8813725502212817,Al2Ca1F9K1
mp-756286,-3.8808471476315782,Ce4La3O12
mp-1194634,-3.8797353018126364,F13Rb1U3
mp-555119,-3.879412330925556,F7Sr1Ta1
mp-218,-3.8794016895,O3Sm2
mp-543044,-3.8792282396822215,Al1Ba1F6Li1
mp-16969,-3.8791418870312486,Lu2O5Si1
mp-756452,-3.87804178425,Dy1O3Sm1
mp-753905,-3.87651292125,O7Tm2Zr2
mp-17085,-3.8760845381233135,F12O1Rb2Zr3
mp-17559,-3.876059559114582,O5Ti1Y2
mp-1101314,-3.8745348980681817,O7Ta1Tb3
mp-4408,-3.87368181715909,O7Sm2Zr2
mp-1226535,-3.872121538611111,Ce1O6U2
mp-1225383,-3.871619344886364,Dy2O7Ta1Y1
mp-685970,-3.8697183106752884,Ce14Gd18O55
mp-755685,-3.8694368407499993,O3Sm1Y1
mp-674320,-3.8692130041666655,Ce9Dy1O20
mp-1220088,-3.868947029659091,Ho1Nd1O7Zr2
mp-1217343,-3.868266651499999,O10Th1U4
mp-18051,-3.868062555052084,La2O5Ti1
mp-1041239,-3.867133195249667,Ba1F7Mg1Ti1
